ግዕዝ ,ትግርኛ 
መፍጽሕ,መሰበሪ እምኒ (ሞደሻ)
ሙዝያሁ,ቃጭል
ሚ፧,ክንደይ፧
ሚላቅ,መዝርኢቶ
ማህሜ,ሞቝሕ
ማህረጽ,መጥሓን
ማህው,ብርለ
ማህጼ,ገዘሞ፡ ማሕጸ፡ ምሳር
ማሕፀን,ማሕፀን
ማር,ሊቅ
ማኅቶት,መብራህቲ
ማኅፈር,እሙን ዓርኪ
ማኅበር,ማኀበር
ማኅው,ብርጭቆ
ማኅሌት,ማኅሌት
ማኅፈድ,ኣዳራሽ
ማእምር,ፈላጥ፡ ሊቅ፡ ለባም
ማእስ,ማእሲ
ማእከል,ማእከል
ማውታ,ሕሉቕ እንስሳ
ማዕረግ,መዓርግ
ማዕበል,ማዕበል
ማዕነቅ,ባሬቶ
ማዕኖ,ደገ ሰላም
ማዕኮክ,ለባም፡ ባዞ
ማዕው,መዓንጣ (ናውቲ ኸብዲ)
ማዕድ,መኣዲ
ማዕዶት,ማዕዶ፡ መሳገሪ
ማዕፆ,ማዕፆ
ማዕፈርት,ጥብቆ
ምህርካ,ምርኮ
ምሕራም,ቤት ጣዖት
ምሕዳም,መደቀሲ
ምሥያም,መሶብ፡ ኣገልግል
ምሥያም,ሣፁን
ምሥያጥ,ዕዳጋ
ምራቅ,ምራቕ፡ ጥፍጣፍ
ምራዕ,ማሕዘል
ምርዓት,ኮሸምሸም፡ ቀለልቀለል
ምሴት,ምሸት
ምሳር,ምሳር
ምስማክ,መደገፊ
ምስካይ,መጸግዒ
ምስያሕ,ሞጉእ
ሠሌዳ,ሠሌዳ፡ ብራና
ሠመዝ,መፈንቀሊ እምኒ (መለኪኖ)
ሠምዕ,ሽምዓ
ሠምዓት,ሽምዓታት
ሠረገላ,ዓረብያ፡ ማኪና፡ ነፋሪት፡ ብሽግሌታ
ሠረገላ,ኣጽዋር ቤት (ህድሞ)
ሠሩር,ስረ (ክዳን)
ሠርሖት,ፈነዋ፡ ምፍናው
