ግዕዝ ,ትግርኛ 
ትዑል,መጻሕፍተ እንስሳ
ትዕቢት,ትዕቢት
ትዕይንት,ከተማ፡ ሰፈር
ትዝኅርት,ጃህራ
ቶማስ/ ቶማስስ,ፀሓይ
ቶራ,ዓጋዜን
ቶራት,ዓጋ ዜናት (ዓዲ)
ቶሬን,ጸዋሪት፡ ሰንቀ
ቶርማን,ገመል ህድሞ (ናሕሲ)
ቶታን,ስራኽ (መእሰሪ ሣእኒ)
ኀዘን,ኀዘን
ኀዝኀዝ,ታኼላ፡ ሰልሚ
ኀየል,ጤለበዱ
ኀይዶ,መራሕ ዕዉር
ኀዳፍ,ወተግ
ኀዳፍ,መምህር
ኀግል,ሞቑሕ
ኀጕል,ጥፍኣት፡ ሓጒሊ
ኂሳን,ለውሃት፡ ክብሪ
ኂሩት,ለውሃት
ኃሙስ,ኃሙስ
ኃምስ,ኃሙሻይ
ኃያል,ኃያል
ኃያጢ,ጠባሪ
ኃይል,ኃይሊ
ኃጢኣት,ኃጢኣት
ኄር,ለዋህ፡ ኄር
ኄንባሊ,ጣፍ
ኀልቀት,ቀለቤት፡ ካትም
ኀሮ,መንደል (ቡንታ)
ኅብር,ሕብሪ
ኅብረት,ኅብረት
ኅብስት,ኅብስት፡ እንጌራ
ኅብዝ,እንጌራ
ኀንብርት,ሕንብርቲ፡ ማእከል
ኅንባዝ,ነዊት
ኀዝአት,ሕዛእቲ
ኅዳግ,ጫፍ መጽሓፍ
ኀጠት,ቅንጣብ
ኀጥጥሜ,ጡጥ
ኀዕው,ስሉብ ሥልጣን
ኆኅት,ኣፍ ደገ
ኆር,መስኮት
ኆጻ,ሑጻ
ኆጻድ,ቁልፊ (መዕጠቒ ስረ/ መጋረጃ)
ነሃር,መንጨዕጫዕታ ማይ
ነምር,ነብሪ
ነስታ,ግብሪ
ነቀልቃል,ነውጺ፡ ምንዋጽ
ነቀዝ,ነቐዝ
ነቀጥቃጥ,ምንቅጥቃጥ
ነቅሪስ,ፍንጣጣ፡ መንሽሮ
ነቅዕ,ፈልፋሊ ማይ
ነቋር,ነቛር
ነቍጥ,ነጥቢ፡ ነቑጣ
ነበርጻው,ረስኒ
ነትዐት,ማእሲ
ነአውልት,ነዓዕልቲ፡ ዕቅብቲ
ነኪር,ጓና፡ ዘይወዲዓዲ
ነኮላል,ኮለል ምባል
ነዊኅ,ነዊኅ
ነዋ,እንሆ
ነውር,ነውሪ
ነዐ,ነዓ
ነዐዊ,ሃዳናይ
ነዓውት,ሃዳኖ
ነዚፋ,ነጸላ፡ ካርታ
ነደቅት,ነዳቖ
ነዳእት,መራሕቲ ሥራሕ፡ ከብከብቲ
ነዳይ,ድኻ፡ ዘይብሉ
ነድ,ነዲ፡ ሃልሃልታ ሓዊ
ነገርጋር,ዘውድቕ ሕማም
ነጋዲ,ነጋዲ
ነግድ,ጋሻ፡ ኃላፊ መገዲ
ነግህ,ንግሆ
ነጎጋው,ምስውስው ምባል
ነጥብ,ነጥቢ
ነጐድጓድ,ነጐድጓድ
ነጠብጣብ,ነጠብጣብ
ነፈርዐፅ,ዝላ፡ ምዝላል
ነፋስ,ንፋስ
ነፋጺ,ነፋጺ፡ ሃዳሚ
ነፋሕ,ድንሽ
ነፋውሕ,ደናንሽ
ነፍጥ,ጠበንጃ፡ ሽጉጥ
ኑፋቄ,ጥርጥር፡ ውልውል
ኒል,ፈለግ ኒል
ኒቄጥራ,ዕምባባ ገልገለ መስቀል
ኒቆታ,ቤት ኣቚሑት
ኒቆታ,ቤት ሥእሊ (እንዳ ሰኣላይ)
ናሁ,እንሆ
ናህክ,ኃዘን
ናህው,ማሕጐማ
ናህይ,ዕርፍቲ
ናላ,መንበስበስታ
ናሕ,ማሕጐማ
ናሕስ,ናሕሲ፡ ህድሞ
ናቃት,ገመል
ናቅ,ሓራስ ገመል
ናብሊስ,ነጋሪት፡ ቃጭል፡ ጸናጽል፡ መሰንቆ
ናብቴ,ናውቲ ማሕረስ (ሞፈር)
ናቱሪም,ሕምባሻ
ናኀር,ሕርኻ፡ ምሕርናኽ
ናእክ,ዓረር፡ ዚንጎ
ናዕት,ዘይበኵዐ ቅጫ፡ ጎጎ
ናይን,ስም እግዚኣብሔር ኣምላኽ
ናይናን,ስም እግዚአብሔር ኣምላኽ፡ ይቕረ በሃሊ
ናጥራን,መላሕስ ከብቲ
ኔስታሊ,ምስሊ ተመን ኣስራዚ፡ መድኃኒት
ኔባል,ሒላብ
ኔባል,ቍራዕ፡ ዕትሮ
ንህብ,ንህቢ
ንሕነ,ንሕና
ንስር,ንስር፡ ዑፍ
ንቡረ እድ,መንፈሳዊ ኣመሓዳሪ፡ ሕጹይ ሽመት
ንብረት,ንብረት
ንትፋይ,ብልዕቲ (አባለ ዘርእ ተባዕታይ)
ንኩህ,ኣድጊ
ንዋየ ውሥጥ,ናውቲ ከብዲ
ንዋየ ሐቅል,ናውቲ ኵናት
ንዋም,ድቃስ
ንዋይ,ገንዘብ
ንድቅ,መንደቕ
ንጉሥ,ንጉሥ (ፕረዚደንት)
ንግመጥስቴ,ወግዒ፡ ቅያ፡ ዛንታ፡ ታሪኽ
ንግደት,መገሻ፡ ንግደት
ንጥኑጥ,መንጕዳ
ንጹሕ,ንጹሕ
ንፍቅ,ፍርቂ
ኖል,ዓስቢ ጓሳ፡ ደሞዝ፡ መሃያ
ኖብያት,ታሪኽ ነገሥታት
ኖትያ,ሓምባሲ
ኖትያት,ሓምበስቲ
ኖጌ/ ነጌ,ሓርማዝ
ኖፕ,ዲያቆን
ኖጻ,ክንቲት፡ ግልግለ
ኣለሚያን,ሣዕሪ ሣዕሮ
አሊቁ,ባሕሪ ጨው
አላዶር,የማናይ ኢድ ዝወግኣ ካልኣይ መስማር
አሌ,ወይ
አሌፍ,ስም ፊደል
አልቀር,ቈልቷል
አልባብ,ልብታት
አልብየ,የብለይን
አልቦ,የልቦን፡ ኣይኮነን
አልዋ,ሓላዊ፡ ዘብዒ
ኣሓ,ኣሓ፡ ከብቲ
አሐቲ,ሓንቲ
አሐዱ,ሓደ
አሐተኔ,ብሓደ
አሐድ,ሓደ
አሕ,ዓኽ፡ ኣሕ (ምልክት ጓሂ)
አሕማ/ አሕማው,ኣሕማ
አሕሩግ,ደዓውል
አሕርው,ሓሰማታት፡ መፋልስ
አሕሳል,ዓበይቲ፡ ሎቖታታት
አመት,ከዳሚት፡ ባርያ፡ ኣገልጋሊት፡ ሸቃሊት
አእማት,ብብዝኂ
አሚር/ አሜር,ሽእኡ (ሽዑኡ)
አሚን,እምነት
አማን,ሓቂ
ኣማንየ,ብሓቀይ
አማዑት,ኣምዑት
ኣሜሃ,በቲ ሽዑ ጊዜ
አሜህለል,ወርኂ እትወጸሉን እትዓርበሉን
አሜስያሂ,ደገ ሰላም
ኣሜን,ኣሜን ይኹን፡ ይገበር፡ ይብጻሕ
አሜከላ,እሾኽ ተኾርባ
አሜፌቅ,መድረኽ
ኣምትንት,ጅማውቲ
አምኃ,መባእ፡ ኣምኃ
ኣምንሰቲት,ተዘከረና
ኣምእስት,ማእስታት
አምዓም,ታኼላ
አሣዕን,ኣሣእን
አሥራግ,ፈልፈልቲ ማያት
አቅ,ወጮ፡ ጥልፊ
አሥዋር,ኣብዑር
አረቦ,ሳርማ፡ ረድኤት
አረቦን,ዕርቡን
አረቦናት,ዕርቡናት
አረፍት,መንደቕ፡ ግድግዳ
አሩኤል,ውኻርያ
አሩራን,ሮማን፡ ዘግባ
አሪስ,ኣግነት፡ ኣጕዶ
አሪጋ,ሰስሓ
አሪፍ,ዓሚ
አራሲብ,መሽረብ ማይ
ኣራራይ,ሣልሳይ ዓይነት ዜማ
አራዊት,ኣራዊት (ብዙኃን)
አራዝ,ክዳን
አርማስ,ሽፍታ ባሕሪ
አርሜስ,ዘንጊ
አርሲስ,መናፍቕ
አርሲሳን,መናፍቓን
አርስጣሉ,ጠንቋሊ
አርስጣላብ,መነጽር (ቴሌስኮፕ)
አርቆሚን,ባላ
አርባቅ,ቆሎ ዳሽም
አርባብ,መላእኽቲ
አፓሩፔ,ቀሺ ገበዝ
አርቲው,ኣውሒ
አርቴውቂኖን,ኣውሊዕ
አርአያ,ኣርኣያ (ኣብነት)
አርኤል,መሠውዒ
አርእስት,ራእስታት፡ ጐይቶት
አርዋን,ኣፍንጫታት
አርዌ,ተመን፡ ኣርዌ፡ ዲያብሎስ
አርዑት,ኣርዑት
አርዩፕ,ዕረ
አርያም,ሰማይ
አርዮስፋጎስ,ባይቶ ፍላስፋታት
አርጋብ,ረጋቢት
አፓፔ,ዓርኪ
አሮት,ልሓም (ሊሓም)
አሮድዮን,ዑፍ ያሬድ
አሰር,ኣሰር
አሰክት,ጸጕሪ ትሽቱሽ
አሳ,ስም ሰብ
አስል,ዘርኢ፡ ሡር፡ ትውልዲ
አስሐትያ,ኣሳሒታ
አስሕርት,ባሕትታት
አስማት,ኣስማት
አስራብ,መንጫዕጫዕታታት
አስቀሎባ,መጽሓፈ ጥንቊልና
አስቈሎን,ቈጻሪ ኮኾብ
አስባንያ/ሶስንያ,ወርኂ ሰማይ
አስኳት,ዝተመሳቐለ መገድታት
አሥዋጥ,ሓለንጊታት
አስፈሬዳ,ስጕርፍኦ፡ መሶብ
አስፌር,ዓሚ
አቀቅ,ሞግእ
አቀብ,ዓቐብ
አቀባት,ኣቐባት
አቀድ,ጕልላት
አቂቅ,ብልቃጥ
አቃቂር,ዝተፈላለየ መድኃኒት
አቃኒ,ዳንዴር፡ ጥፍራርያ
አቃኒም,ኣካል
አቃጠን,ኣንበጣ
አቃጣን,ኣንበጣ
አቃጥም,ኩብኵብታ
አቅ,ሐርቢ
አቅላሜዶን,ቈልቷል
አቅሌምያ,ጓል ኣዳም
አቅሌስያ,ቤተ ክርስቲያን
አቅራብ,ዕንቅርቢት
አቅጤ,ብርለ
አቍናጽ,ኣቝናጭ (ቍንጭታት)
አቍጣጥ,ጅና በትሪ (መጀነኒ)
አበ-ላሕም,በዓል ከብቲ
አበ-ምኔት,ሓላፊ ገዳም
አበርጊላ,ገበጣ፡ ሓንዳይ
አበሳ,ኣበሳ፡ በደል
ኣበቅቴ,ቍጽሪ ዘመን
አበው,ኣበው፡ ኣቦታት
አበ-ደም,በዓል ደም
አቡሊድስ,መዘምር
ኣቡን,ኣቡን፡ ጳጳስ
አቢብን,ዑፍ መስቀል
አባ,ኣቦ፡ ብርቱዕ
አባል,ኣካል፡ ኣባል
አባብ,ብዓል ውዕለት፡ ሸቃላይ
አባጕ-ንባሕ/ ኣበ-ጉንባሕ,ኣባ ጕምባሕ
አቤኔዜር,እምኒ ረድኤት
አብ,ኣቦ
አብሕርት,ባሕርታት
አብረክሲስ,መጽሓፈ ግብረ ሐዋርያት
አብሪም,ልቢ
አብርሃም,ኣቦ ብዙኃን
አብርዎ,ልቢ
አብሰልናዎስ,ቃል ፍትሓት(መሐራ)
አብኑስ,ዝበ ዝተባህለ ኦም
አብኖስ,ቀረጽ ዝተባህለ ኦም
ኣብዋቅ,መለኸታት
አብያታዊ,ቤተ ሰብ
ኣብዮት,እምቢተኛ
አኃው,ኣኅዋት
አኀት/ አኃት,ኣኃት
አኀዝ/ አኃዝ,ቍጽሪ
አኀዝ,ትሕጃ
አነ,ኣነ
አነዳ,ዓጽፊ፡ ቈርበት
አኒን,ፍረ ነፍስ
አናሚ,ኣላሚ
አናስር,ዋህዮታት
አናኵዕ,ጎደቦ
አናጕንስጢስ,ኣንባቢ ዲያቆን
አቦሊጽ,ብልጭታ ሞቝሎ
ዓተር,ዓተር
አትሮንስ,መንበቢ መጽሓፍ
ኣንስት,ኣንስቲ
አንስትያ,ኣንስተይቲ
ዐንቀር,ዓንቀር
ዐንቀጽ,ኣፍ ደገ
አንቃስ,ዕነ (ደምበ፡ ጭቃ)
አንቄ,ሽላ
ኣንቆቅሖ,እንቋቑሖ
አንበሳ,ኣንበሳ
አናብስት,ኣናብስ
አንበጣ,ኣንበጣ
አንብዕ,ንብዓት
ኣኖት,ልሓም (ሊሓም)
አንደበራ,ስዲ፡ ወዲ ሰበይቲ
ዓንጎግ,ዓንጎግ
አንጕዕ,ኣንጉዕ
አንጥማርያጦስ,ፀረ ማርያም
አንጻር,መንጽር
አንጼዋ,ኣንጭዋ
አንፍ,ኣፍንጫ
ኣትሪኮን,ቃል ትንቢት
አኤናኦን/ አኤናዎን,ዘለዓለም ዘሎ
አእኑስ,ኣንስቲ
አዕኑግ,ኵትሻታት (ዓይነት ስልማት)
ኣእዋም,ኣእዋም
ኣኪስት,ፈልፈልቲ ዓይኒ ማያት
አካል,ኣካል
አክሊል,ኣኽሊል፡ እኽልታት
አክሊሮስ,ቀሺ ገበዝ
ኣክልብት/ አክላብ,ኣኽላባት
አክራጦን,ደመ ክርስቶስ
ኣክሪግሊዮን,ሓሰማ
ኣክሳስ,ሽሾ፡ መራሕ ማይ
አክይስት,ኣትማን
አክዮስ,ይግብኦ (ይግብኦ)
ኣኰቴት,ምስጋና
ኣውል,ኣውሊ
ኣውሎ,ንፋስ
አውሎግያ,ዝተባረኸ፡ ኅብስቲ
አውርሐርስ,ሓርሽ
ኣውቃፍ,በናጅር (ዓይነት ስልማት)
አውታር,ስልኪ ክራር
አውኪያኖስ,ውቅያኖስ
አውክሳርያ,ስንክሳር
ኣውያት,ኣውያት
አውያን,ወይንታት
አውግር,ኵርባታት
ኣውጤ/ በጽል,ባልደንጓ
አዛል,ብርቱዕ፡ ኃያል፡ ጎበዝ
አዛብ,ጭራ
ኣዞብ,ስምዕዛ
አየር,ኣየር
ኣዮባሊ,ወዳእ ነገር፡ ጠበቓ
አድግ,ኣድጊ
ኣእዱግ,ኣእዱግ
አዲማ,ትን
አዳም,ጽቡቕ
አዴራ,ራብዓይ መስማር (የማናይ እግሪ ጐይታ ዝተወግኣሉ)
ኣድራማሌክ,ጕንጓ
አድገ መረብ,ኣባ ጕንባሕ
አድል,ወጮ፡ ባርኖስ
አድያም,ከባቢ፡ ዞባ
አገዳ,ቅልጽም
አጋም,ዓጋም
አጋስዕ,ሰባብሕቲ (ጥሪት)
አጋዕዝት,ጐይቶት
ዓጋዘን,ዓጋዜን
አጌ,ጡጥ
አግልዕት,ገልዒታት (ኣጋልዕ)
አግሪግልዮስ,ሓሰማ
አጠቀን,ኣንበጣ
አጣሊ,ኣጣል
አጠርቆን,ሞባእ፡ መሥዋዕት
አጥራቂ,ምክት
አጥባት,ኣጥባት
አጰርግዮስ/አጰራግዮስ/ኣጰሮግዮስ,ሥጋ
ኣጵቱ,ሕልፍኚ (ሕጓ)
ኣጰሊጹ,ቤት መቕደስ
አጶርጌ,መሥዋዕቲ (ዓይነት ቍርባን)
ኣጽለዳ,ኩመል
ኣጻብዕ,ኣጻብዕቲ
ኣጽባዕት,ኣጻብዕቲ
ኣጽት,ኵዕሶ፡ ጥምቢ
ኣጽዋል,ሰዓዕ፡ ሃምበል
አጽፋት,ፍሒራ
አጽርቅት,ጨርቅታት
አፈ መልበስ,መእተዊ ክሣድ ክዳን
ኣፈ ጽባሕ,ወጋሕታ
አፈቄዳ,ቃቓዊት ደርሆ
አፍለጢስ,ቅጥራን (ካትራመ)
አፍረንጊ,ፈረንጂ
አፍራቅያ,ኣፍሪቃ
አፍቀድ,ቃቓዊት ደርሆ
አፍቁፍ,ኣርሒ ደርሆ
አፍዖት,ኣፍዑት
አፍዮማክን,መራሕ ማይ
አፍ,ኣፍ
አፈዋት,ብብዝኂ
አፓሩፔ,ቀሺ ገበዝ
አርፓፔ,ሊቀ ጳጳሳት
አፓፔ,ፈታዊ
ኡድር,ምኽንያት
አልህሉሂ,ሎቖታ
ኢስታኦስ,ስም ኣምላኽ
ኢብን,ዑፍ መስቀል
ኢኑሉ,ጽምብላሊዕ
አናጦሊ,ኣርሒ ገመል
ኢያዜር,ጎብየ
ኢያዜቡ,ልጓም
ኢዮቤል,፵፱ ዓመት (ዘመነ ኅድገት)
ኤላም,ገበላ (ብራንዳ)፡ ደገ ሰላም
ኤላው,ዓንዲ
ኤላጤስ,ጽሕዲ
ኤሌዎን,ዘይቲ ኣውሊዕ
ኤልሕሕ,ደገ ሰላም
ኤልሳልስ,ደገ ሰላም
ኤልባዝር,ሓራስ ከልቢ
ኤልዳ,ኣዳምን ሔዋንን ዝተፈጥሩላ ቦታ
ኤርሁ,ስም ኮኾብ
ኤርዌት,ኣንስተይቲ ሓርማዝ
ኤርገብ,ስንጭሮ
ኤርጋሄ,ርግሀ
ኤርጌት,ተባዕታይ ደርሆ
ኤስከዴሬ,መስኮት(ፍኒስትራ)
እልልድኩ,ሓኽሊ ድሙ
እመምኔት,ኣደ ገዳም (ሰበይቲ)
እምሄው,ኣቦሓጎ
እምሄውት,እኖሓጎ
እም,ኣደ
እም,ካብ
እራኅ,ማእከል ኢድ
እርኩበት,ኣንስትዮ ኣግማል
እሳት,ሓዊ
እስቁፍ,ቀሺ ገበዝ
እስትጉቡእ,ዝተኣከበ
እስከ,ክሳዕ (ክሳብ)
እስኪት,ፍረ ነፍስ (ብልዕቲ)
እቀጡ,ህበይ
እቤር,ኣረጊት ሰብኣይ
እቤርት,ኣረጊት ሰበይቲ
እብላ,ወርኂ
እብን,እምኒ
እቶን,እቶን
እንስሳ,እንስሳ
እንቃስ,ዕነ
እንቋዕ,እንቋዕ
እንዚራ,መሰንቆ
እንዳዒ,እንድዒ
እንድቅትዮን,ዓርቢ
እንገዝ,ቱሽቱሽ
እንግድዓ,ኣፍ ልቢ (ደረት)
እንግዳ,ጋሻ፡ እንግዳ
እንጐት,ትርንጎ
እንጳጴ/እንጳንጴ,ፍንጣጣ
እከይ,ክፍኣት፡ ክፋእ
እኩይ,ክፉእ፡ እኩይ
እክል,እኽሊ፡ እኽእል እየ
እወ,እወ
እዝን,እዝኒ
እዝን,ጽንጽሕለ
እድ,ኢድ
እገሌ,እከለ
እድግት,ኣድጊ
እጕስታር/እጉስታር,ዕረ
እግዝእት,ኣደ ቤት (እመቤት)
እግዚእ,ጐይታ
እግዚኦ,ኦ ጐይታ
እጠስ,እንጥሸው
እፎ,ከመይ
ኦሆ,ሕራይ (እሺ)
ኦሆሊባ,ኢየሩሳሌም
ኦሆላ,ሰማርያ
ኦም,ኦም
ኦሪት,ኦሪት፡ ቀደም
ኦርያ,ኣፍ ደገ ሰላም
ኦርያሬስ,ፀሓይ
ከሃ,ንየው፡ ኣብቲ
ከለሜዳ,ቀይሕ ግምጃ
ከላል,ሚዶ፡ መዘርገፍ
ኵልስስት,እንዳእቲ
ከላስስት,እንዳእትታት
ከልብ,ከልቢ
ከሎ,ልኻይ፡ ጠስሚ
ከመዝ,ውንጅር፡ ከምዚ
ከመዛት,ብብዝኂ (ውንጅራት)
ከሙን,እንጣጢዕ፡ ኣባዕከ
ከሚን,ሽንፋእ
ከማእ/ከሜእ,ሕማም ልቢ
ከረቤዛ/ኰረቤዛ/ኮረቤዛ,ብልዕቲ ኣንስተይቲ (ሙፃአ ሕፃን)
ከረጺት,ከረጺት
ከራሚ,ዕቑር፡ ዝኸረመ
ከራግልዮስ/ኪሮማሊዮስ/ ኪሮግልዮስ,ሓሰማ
ከርሜል,ጥፍረርያ
ከርሚን,ክሊዓው
ከርም,ክረምቲ
ከርሥ,ከብዲ (ከርሢ)
ከርቤ,ከርበ
ከርካዕ,ለሚን
ከርካዓት,ለሚናት
ከበሮ,ከበሮ
ከብካብ,ከብካብ (መርዓ)
ከብድ,ከብዲ፡ ማእከል
ከተማ,ከተማ፡ ጫፍ
ከንፈር,ከንፈር
ከናፍር,ከናፍር
ከንበሎ,ወለባ (ሚዶ ትመስል ኣብ ርእሲ ደቂ ኣንስትዮ እትስኳዕ)
ከንቱ,ኸንቱ
ከዋላ,ድኅሪት፡ ከውሊ
ከዋኒታት,ሓወልትታት
ከዋክብት,ከዋኽብቲ
ከዋው,ቅልጡፍ
ከውር,እቶን ሓጓዳይ
ከዘበል,ጠይቂ፡ ሶል (ናይ ኣድጊ፡ በቕሊ)
ከይሲ,ከይሲ፡ ተመን
ኩህ/ኵህ,ጸዋሪት፡ መንጠልጠሊ ኣቑሑ (ኩላብ)
ኩላብ,ጸዋሪት፡ መስቀሊ ኣቑሑ
ኵርበት,ክታብ
ኩእንት,ኵዕንቲ
ኪሩይ,ኵስኵስቲ
ኪርያላይሶን,እግዚኦ መሓረና
ኪራቁ,ዕለተ ምጽኣት
ኪሮግልዮስ,ጊሐ፡ ሓሰማ
ኪነት/ ኪን,ብልሓት፡ ጥበብ
ካሂ,ሓራስ ላም፡ ምራኽ፡ ኣርሒ
ካህን,ካህን
ካሜን,እንጣጢዕ
ካቢ,ዳንጋ
ካዕሴ,ጨጎራ፡ ፈርሲ፡ ዒባ፡ ከብዲ፡ ርስሓት፡ ሥጋ ከስዐ
ኬሌሜዎን/ኬሌምሌዎን,ነፋሒቶ
ኬሜሌዎን,ጠበቕ
ኬሴላ,ልሔ (እኩባት ከዋኽብቲ)
ኬፋ,ከውሒ (ጴጥሮስ)
ክላሕ,ኣውያት
ክልኤ⁄ክልኤቱ/ት,ክልተ
ክሕደት,ክሕደት
ክማም,መሽቀቕ
ክምር,ኩምራ
ክሣድ,ክሣድ
ክሥተት,ግልጸት
ክረምት,ክረምቲ
ክርታስ,ወረቐት፡ ብራና
ክቦ,ኩቦ
ክንፍ,ክንፊ
ክዑብ,ፈትሊ
ክዑት,ድዅዒ
ክዕቦ,ኩቦ
ክዳን,ክዳን
ኮሞል,ኩመል
ኮል/ኮንፋር,ምልዖ
ኵለሄ,ኵሉ ጊዜ
ኵሉ,ኵሉ
ኵሊት,ኵሊት
ኵልያት,ኰላሊት
ኵሕል,ኵሕሊ
ኵራል,ቃንጥሻ
ኵርናዕ,ኵርናዕ
ኵርዳላቅ/ኩድራላቅ,ሽጉጥ
ኵስሕ,ቀልቀል፡ ዒባ፡ ፋንድያ
ወለት,ጓል
ወላዲ,ወላዲ
ወልታ,ዋልታ
ወልድ,ወዲ
ወሬዛ,ጎበዝ፡ መንእሰይ
ወርቅ,ወርቂ
ወትር,ኵሉ ሳዕ
ወኃይዝ,ወኃይዝ
ወንጌል,ብሥራት
ወዐሊ,ኣገልጋሊ፡ ዓስከር (ወታደር)
ወይን,ወይኒ
ወይሊተ,ወይለይ
ወይጠል,ኢራብ
ወዲፈት,ብላይ ጨርቂ
ወዲፎት,ቁራጽ ምንጻፍ
ወግር,ኵርባ
ወግዕ,ወግዒ
ወጣኒ,ጀማሪ
ዋሕር/ዋሕድ,ሓደ
ዋሕድና,ሓድነት
ዋስማ,እሾኽ መርገም (ተኾርባ)
ዋካ,ብርሃን
ዋዕይ,ዋዒ
ዋዜማ,ድሮ፡ ዋዜማ (ኣማርኛን ግእዝን)
ውሉድ,ውላድ፡ ውሉድ
ውላጤ,ለውጢ
ውሣጢ/ጤ፡ ውሥጥ,ውሽጢ
ውቅሮ,ጽቡቕ ሕንፃ
ውቅያኖስ,ውቅያኖስ
ውኂዝ,ውሕጅ
ውእቱ,ንሱ፡ እዩ
ውኩፍ,ቅቡል፡ ሥሙር
ውዳሴ,ምስጋና፡ ናእዳ
ዘሄርሙ/ ዘዘሄርሙ,ዋላኻ ሓመድ
ዘለፋ,ጸርፊ፡ ስም ሰበይቲ
ዘሊላ,ዳጕያ (እኽሊ)
ዘልፍ,ወትር፡ ኩሉ ሳዕ
ዘመድ,ዘመድ
ዘማ,ሸርሙጣ
ዘማዊት,ዘማዊት
ዘሩባቤል,ዘርኢ ባቢሎን
ዘራከፕ,ዕንቅርቢት
ዘርቅ,ዋዛ፡ ባጫ፡ ኣሽካዕላል፡ ጻውቲ
ዘርቤን,ጥዑም ሽታ
ዘርቤዶ,ዛግራ
ዘርብ,መስበሪ እምኒ (ማሳ)
ዘርእ,ዘርኢ
ዘርዜቅ,መንፊት፡ ሞዅባዕቲ (መጽሞቚ ስዋ)
ዘቢብ,ዘቢብ፡ ወይኒ
ዘባን,ዝባን ሕቖ
ዘብድው,ዲኖ፡ ማቕ፡ ወጮ
ዘትር,ወለላ መዓር
ዘነብ,ጭራ
ዘነባት,ጭራታት
ዘዌ,ፈውሲ ተመን ዕንፀይቲ
ዘውር,ዙርያ፡ ከባቢ
ዘውግ,ወገን፡ ዓሌት
ዘይት,ዘይቲ
ዘይጦን,ኣውሊዕ
ዘግራ,ዛግራ
ዘጋርው,ካግራታት
ዙዚዮን,ዓለቕቲ
ዚኣሁ,ናቱ
ዛውዕ,ዋዛ፡ ጻውቲ
ዜራዕ,ዕትሮ
ዜና,ዜና (ወረ)
ዜናዊ,ነጋሪ (ብጽቡቕን ሕማቕን)፡ ሓሳዊ
ዝሕቅ,ሓርቢ
ዝሙት,ዝሙት
ዝምዝም/ዝማም/ዝማማት,ዝማም (ልጓም)
ዝማሜ,ዝማሜ
ዝማሬ,ምስጋና
ዝራፕ/ዝራፒ,ጊባቦ
ዝቅ,ገንኢ፡ ሓርቢ
ዝቃት,ኣጋንእ፡ ሓርብታት
ዝብል,ሓርኢ ሓጺን (rust)/ቀልቀል (ናይ ኵሉ)
ዝብእ/ዝእብ,ዝብኢ
ዝናም,ዝናም
ዝንቱ/ዝኩ/ዝክቱ/,እዚ
ዝኅር,መቓብር
ዝክር,ዝክር፡ መዘከርታ
ዝየል,ማሕስእ (ውላድ ጤል)
ዝየ,በዚ፡ ኣብዚ
ዝጋግ,ሕማም መንሽሮ
ዝፍት,ኰልዒ፡ ጥጅእ፡ ዕንዲዳ
ዞም/ ዞሞ,ደም
ዘሪት,ዕምባባ ሱፍ
ዐለቅት,ዓለቕቲ
ዐላማ,ዓላማ
ዐልጌን,ባላ
ዐመፃ,ዓመጸ
ዐማፂ,ዓማጺ
ዐረቦን,ዕርቡን
ዐረቦናት,ዕርቡናት
ዐሪስ,መሐለዊ ተኽሊ ኣጕዶ፡ ዳስ
ዐራት,ዓራት
ዐራዝ,ክዳን
ዐርኬ,መልክዐ ስንክሳር
ዐቀበት/ ዐቀብ,ዓቐበት
ዕቁብ,ዝተዓቕበ
ዐቃቂር,ቀመማ ቐመም
ዐቃብ,እሾኽ ዳንዴር
ዐኒን,ፍረ ነፍስ
ዐንበሪ/ዐንበር,ዓሣ ነባሪ
ዐንግ,ኵትሻ (ዚኾነ ስልማት ደቂ ኣንስትዮ)
ዐውድ,ዓውዲ፡ ክቢ
ዐጌ,ጡጥ
ዐጌያት,ጡጣት
ዐጸባ,ዓጸባ፡ ጭንቂ፡ ሽግር
ዓልዋ,ጥዑም ጨና (ሽታ)
ዓመት/ዓም,ዓመት
ዓምድ,ዓንዲ
ዓሣ,ዓሣ
ዓስብ,ደሞዝ፡ መሃያ፡ ዓስቢ
ዓሥራት,ዕስሪት (ዕሽር)
ዓርብ,ዓርቢ (መወዳእታ)
ዓርክ,ዓርኪ
ዓበቅ,ዓበቕ
ዓቢይ,ዓቢይ
ዓባር,ዓባር፡ ዕብራን
ዓተር,ዓተር፡ ባልደንጓ
ዓንቀር,ዓንቀር
ዓኮት,ዒኮት
ዓው,ምሕኵልቲ
ዓይን,ዓይኒ
ዓዲ,ጋና (ገና)፡ ካልኣይ፡ ከምኡ፡ ተወሳኺ
ዓዘቅት,ዓዘቕቲ፡ ጕድጓድ፡ ዒላ
ዓፅም,ዓጽሚ
ዓዕቅ,ቈጽሊ
ዓፅፍ,ዓጽፊ
ዔላ,ዒላ ማይ
ዔረግ,ሴፍ፡ መጻወድያ
ዕለት,ዕለት
ዕሪና,ማዕረ
ዕርፍ,ዕርፊ
ዕቀን,ድቓላ ኦም (ተቀጽላ)
ዕቋን,ሕቋን
ዕቡይ,ዕቡይ፡ ኵሩዕ
ዕብሬት,እብረ፡ ታራ፡ ሳምንቲ
ዕዋል,ዒሉ
ዕዝል,ዓይነት ዜማ
